id,name,contact_name,title,postal_code,country,contact
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,12209,Germany,030-0074321
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,5021,Mexico,(5) 555-4729
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,5023,Mexico,(5) 555-3932
AROUT,Around the Horn,Thomas Hardy,Sales Representative,WA1 1DP,UK,(171) 555-7788
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,S-958 22,Sweden,0921-12 34 65
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,68306,Germany,0621-08460
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,67000,France,88.60.15.31
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,28023,Spain,(91) 555 22 82
BONAP,Bon app',Laurence Lebihan,Owner,13008,France,91.24.45.40
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,T2F 8M4,Canada,(604) 555-4729
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,EC2 5NT,UK,(171) 555-1212
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,1010,Argentina,(1) 135-5555
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,5022,Mexico,(5) 555-3392
CHOPS,Chop-suey Chinese,Yang Wang,Owner,3012,Switzerland,0452-076545
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,05432-043,Brazil,(11) 555-7647
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,WX1 6LT,UK,(171) 555-2282
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,52066,Germany,0241-039123
DUMON,Du monde entier,Janine Labrune,Owner,44000,France,40.67.88.88
EASTC,Eastern Connection,Ann Devon,Sales Agent,WX3 6FW,UK,(171) 555-0297
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,8010,Austria,7675-3425
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,05442-030,Brazil,(11) 555-9857
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,28034,Spain,(91) 555 94 44
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,59000,France,20.16.10.16
FOLKO,Folk och fä HB,Maria Larsson,Owner,S-844 67,Sweden,0695-34 67 21
FRANK,Frankenversand,Peter Franken,Marketing Manager,80805,Germany,089-0877310
FRANR,France restauration,Carine Schmitt,Marketing Manager,44000,France,40.32.21.21
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,10100,Italy,011-4988260
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,1675,Portugal,(1) 354-2534
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,8022,Spain,(93) 203 4560
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,41101,Spain,(95) 555 82 82
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,04876-786,Brazil,(11) 555-9482
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,97403,USA,(503) 555-7555
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,1081,Venezuela,(2) 283-2951
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,05454-876,Brazil,(21) 555-0091
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,5022,Venezuela,(5) 555-1340
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,97827,USA,(503) 555-6874
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,,Ireland,2967 542
ISLAT,Island Trading,Helen Bennett,Marketing Manager,PO31 7PJ,UK,(198) 555-8888
KOENE,Königlich Essen,Philip Cramer,Sales Associate,14776,Germany,0555-09876
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,78000,France,30.59.84.10
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,31000,France,61.77.61.10
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,V3F 2K1,Canada,(604) 555-3392
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,99362,USA,(509) 555-7969
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,60528,Germany,069-0245984
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,94117,USA,(415) 555-5938
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,3508,Venezuela,(9) 331-6954
