id,last_name,first_name,title,birthdate,hire_date,postal_code,country,contact,reports_to
1,Fitzgerald,Gunnar,Sales Representative,8/4/56,9/18/85,907R02,Iceland,5514625394,20
2,King,Daisy,Sales Representative,6/26/92,4/22/17,M5388A,United Arab Emirates,1622590717,63
3,Esparza,Lesly,Sales Manager,9/23/54,1/13/75,2F365L,Turkey,1758615552,7
4,Merritt,Shiloh,Sales Manager,5/11/57,11/1/84,27TM3,Argentina,2042725721,7
5,Mcmillan,Elian,Sales Manager,12/27/86,5/26/12,4586R,Germany,6513191729,7
6,Harris,Gemma,Inside Sales Coordinator,1/7/88,8/13/13,YZ286K,Saudi Arabia,2353232388,7
7,Whitney,Sidney,"Vice President, Sales",2/20/98,5/8/23,N3944,Philippines,2347431306,
8,Mcpherson,Carlos,Sales Representative,5/7/96,1/29/26,C434P,Bhutan,5734600932,30
9,Chavez,Sarah,Inside Sales Coordinator,8/3/76,11/6/98,1BAF5,Norway,7785744865,7
10,Lowe,Iliana,Sales Representative,9/15/79,2/18/06,25555V,Bolivia,4245293035,65
11,Freeman,Oscar,Inside Sales Coordinator,12/9/89,5/11/15,83X69,Belgium,2941417884,7
12,Escobar,Jayden,Sales Representative,5/9/62,12/6/90,A8W800,Iran,3926860888,19
13,Mcbride,Elisha,Sales Manager,9/28/63,2/24/91,1T071,Sri Lanka,7988811054,7
14,Daniel,Lorena,Sales Representative,9/6/84,5/12/13,833541,Ukraine,2068851661,28
15,Morgan,Sam,Inside Sales Coordinator,7/27/51,10/29/75,YTG168,Croatia,8603292483,7
16,Ramirez,Gerardo,Sales Representative,12/26/81,4/14/04,9W1453,Bulgaria,8016383674,30
17,Leon,Matilda,Sales Representative,1/18/74,12/6/98,5D022Y,Iceland,4306764285,19
18,Lam,Paxton,Sales Representative,8/1/77,5/23/00,L0G69,Iceland,6233647355,34
19,Howe,Daniella,Sales Manager,12/5/85,11/27/06,15770,Argentina,8949348628,7
20,Miller,Nathalia,Sales Manager,7/23/81,11/8/10,R52NZ,Ireland,4800234833,7
21,Larsen,Leilani,Sales Manager,4/19/48,7/26/72,9W549,Dominican Republic,4787001182,7
22,Duarte,Randy,Inside Sales Coordinator,2/3/68,5/5/90,2ZY66W,Argentina,5483991969,7
23,Noble,Rohan,Sales Representative,5/14/91,8/7/11,58608G,Iran,6557913799,3
