id,company_name,contact_name,contact_title,postal_code,country,contact
1,Exotic Liquids,Richard Dixon (Dick),Product Manager,4331,Sri Lanka,2511188235
2,New Orleans Cajun Delights,Mina Dixon,Marketing Representative,7519U,Dominican Republic,5611256723
3,Grandma Kelly's Homestead,Vishnu Dixon,Export Administrator,1A921,Sweden,8698859257
4,Tokyo Traders,Eric Dixon,Coordinator Foreign Markets,0348,Estonia,1550304108
5,Cooperativa de Quesos 'Las Cabras',Harry Dixon,Marketing Representative,BY68T,Philippines,8655130479
6,Mayumi's,Oscar Dixon,Sales Agent,O6NB,Iraq,5556095876
7,"Pavlova, Ltd.",Tasha Dixon,Sales Representative,63O01U,Canada,6616429072
8,"Specialty Biscuits, Ltd.",Tanya Dixon,Sales Manager,WW5718,Paraguay,2003051657
9,PB Knackebrod AB,Esteban Dixon (Stevie),Export Administrator,4WZV7,Armenia,1491738366
10,Refrescos Americanas LTDA,Fredrik Dixon (Freddie),Purchasing Manager,SAO8S,Uganda,1524067052
11,Heli Süwaren GmbH & Co. KG,Art Dixon,Purchasing Manager,994509,Bhutan,3871506388
12,Plutzer Lebensmittelgro√üm√§rkte AG,Oz Dixon,Sales Representative,63PD1,Costa Rica,6943941686
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Johann Dixon (Johnny),Marketing Representative,L9AQB,Lebanon,7560924458
14,Formaggi Fortini s.r.l.,Ricardo Dixon,Marketing Representative,072V8,Madagascar,9737023695
15,Norske Meierier,Gennadi Dixon,International Marketing Mgr.,65404,Ukraine,8986145379
16,Bigfoot Breweries,Jaya Dixon,Wholesale Account Agent,646QO,Uganda,2601768285
17,Svensk Sj√∂f√∂da AB,Augusta Dixon,Marketing Representative,L246,New Zealand,2380623091
18,Aux joyeux eccl√©siastiques,Adel Dixon,Coordinator Foreign Markets,3C1Z,Chile,8757520768
19,New England Seafood Cannery,Onur Dixon,Coordinator Foreign Markets,991OI,Brazil,8748915840
20,Leka Trading,Erin Dixon,Accounting Manager,W901,Morocco,4086601716
21,Lyngbysild,Eugene Dixon (Gene),International Marketing Mgr.,DV38CV,Bolivia,6579627201
22,Zaanse Snoepfabriek,Fritz Dixon (Frits),Marketing Manager,N34YU4,Cambodia,7186182963
23,Karkki Oy,Tory Dixon,International Marketing Mgr.,V025,Sweden,7270826469
24,"G'day, Mate",Barney Dixon,Purchasing Manager,55J0,Central African Republic,2643693479
25,Ma Maison,Zagyg Dixon,Marketing Manager,K9SBE2,Japan,8475783641
26,Pasta Buttini s.r.l.,Hania Dixon,Marketing Representative,AL26PE,Saudi Arabia,5232299710
27,Escargots Nouveaux,Jedidiah Dixon (Jedd),Sales Representative,K12EE,Dominican Republic,3410172185
28,Gai paturage,McKinley Dixon,Sales Representative,8T2135,Chile,8136610380
29,Forets derables,Kalle Dixon,Wholesale Account Agent,TQ0HH,Saudi Arabia,3217529551
30,Agrimade Manufacturing,Alrick Dixon,Sales Agent,J4630,Saudi Arabia,6799745615
31,Capicola Manufacturing,Maya Dixon,Regional Account Rep.,5J2C3,Australia,8091442626
32,Zenith Manufacturing,Andrew Dixon (Dru),Owner,V80N,Belarus,5262503645
33,Maleo Manufacturing,Puck Dixon,Sales Representative,F0CAK,The Bahamas,9504389904
34,Spartan Manufacturing,Carter Dixon,Product Manager,1149A6,Argentina,5174837582
35,Stone Creations,Ehud Dixon,Coordinator Foreign Markets,N7NY,India,4117493437
36,Manucity,Elton Dixon,Sales Manager,7KW6L,Netherlands,1350612378
37,Chemoplastics,Hamlin Dixon,Sales Manager,M2L5A,Croatia,2679712997
