id,company_name,contact_name,contact_title,city,postal_code,country,contact
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,EC1 4SD,UK,(171) 555-2222
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,New Orleans,70117,USA,(100) 555-4822
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,Ann Arbor,48104,USA,(313) 555-5735
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,Tokyo,100,Japan,(03) 3555-5011
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Oviedo,33007,Spain,(98) 598 76 54
6,Mayumi's,Mayumi Ohno,Marketing Representative,Osaka,545,Japan,(06) 431-7877
7,"Pavlova, Ltd.",Ian Devling,Marketing Manager,Melbourne,3058,Australia,(03) 444-2343
8,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,Manchester,M14 GSD,UK,(161) 555-4448
9,PB Knäckebröd AB,Lars Peterson,Sales Agent,Göteborg,S-345 67,Sweden,031-987 65 43
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Sao Paulo,5442,Brazil,(11) 555 4640
11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Berlin,10785,Germany,(010) 9984510
12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Frankfurt,60439,Germany,(069) 992755
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Cuxhaven,27478,Germany,(04721) 8713
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Ravenna,48100,Italy,(0544) 60323
15,Norske Meierier,Beate Vileid,Marketing Manager,Sandvika,1320,Norway,(0)2-953010
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,Bend,97101,USA,(503) 555-9931
17,Svensk Sjöföda AB,Michael Björn,Sales Representative,Stockholm,S-123 45,Sweden,08-123 45 67
18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,Paris,75004,France,(1) 03.83.00.68
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Boston,2134,USA,(617) 555-3267
20,Leka Trading,Chandra Leka,Owner,Singapore,512,Singapore,555-8787
21,Lyngbysild,Niels Petersen,Sales Manager,Lyngby,2800,Denmark,43844108
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Zaandam,9999 ZZ,Netherlands,(12345) 1212
23,Karkki Oy,Anne Heikkonen,Product Manager,Lappeenranta,53120,Finland,(953) 10956
24,"G'day, Mate",Wendy Mackenzie,Sales Representative,Sydney,2042,Australia,(02) 555-5914
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,Montréal,H1J 1C3,Canada,(514) 555-9022
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,Salerno,84100,Italy,(089) 6547665
27,Escargots Nouveaux,Marie Delamare,Sales Manager,Montceau,71300,France,85.57.00.07
28,Gai pâturage,Eliane Noz,Sales Representative,Annecy,74000,France,38.76.98.06
29,Forêts d'érables,Chantal Goulet,Accounting Manager,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955
